clean_text,Sentiment
product good like bought open market price also equal open market would good line price lessread,1
nice itemsread,1
thank flipkart providing great product good quality great dealread,1
shutte durablelasts long good flight time much better purchased local store also offer cheaperread,1
love itit really guudas well fantastic delivery early alsoread,1
really good shuttle want improve game best also durable flight good weight balance superb best amateur levelread,1
convinced quality productread,1
option put image review section shuttle delivered used one even mavis seller must totally unprofessional basic check seal taken care flipkart atleastread,0
okread,1
value moneyread,1
excellent product cost higherread,1
one shuttle broken day smashread,0
shuttle poorguys dont purchaseflipkhart check supplierother big impact sale alsoread,0
nice shuttle flight correct good durabilityread,1
ball best local rate highread,1
good flipcart price high market get r per peaceread,1
good slow type cork r using daily game one cork last daysread,1
best shuttlecock ever play everyday abt hour continusly still use shuttlecock day durable got really good flight yonex rock read,1
worst rateread,0
shuttle long life lightread,1
worst productdont go itit stand hour playread,0
fleecing customer tagging wrong mrpread,0
better beginnersread,1
shuttle good even match comethink twice purchaseread,0
okkread,0
st time order quantity good next time quality poor shuttle looking also read,0
nice product practiceread,1
excellentread,1
good oneread,1
niceread,1
goodread,1
good read,1
original product great discountread,1
good productread,1
absolutely good quality shuttlesand great packing teamread,1
product good price increased retailer price read,1
dear retailnet second order second order ifferent first one one packing look different quality nicethanks happy second orderread,1
best cicksbut price highest please think itread,1
poor productread,0
poor qualityread,0
value moneyread,1
badread,1
bestread,1
goodread,0
quality good rotate cork new oneread,0
worst productread,0
best qualityread,1
one roll cork two piece cork goodbut four cork waste one match cork rolling dont buy productread,0
bad product one two number shuttle good others getting damaged one matchread,1
bad quality read,0
nice product packingread,1
seems duplicategeneral shuttle used around daysbut online purchased product cannot used dayyou feel difference shuttle playingread,0
superread,1
best qualityread,1
going bad quickly daysread,0
extremely goodfully satisfied quality wish place repeat orderread,1
best shuttle corkread,1
playing match cork get rotate longer used play gamesread,1
good quality productread,1
best gameread,1
definitely buy thisread,1
nice quality genuine product affordable priceread,1
good outdoor easy spoil contact waterread,1
nice must buyread,1
goodread,1
good productread,1
nice oneread,1
excellent read,1
thanks flipkartread,1
best oneread,1
goodread,1
okread,1
good productread,1
breaking hour game bad qualityread,1
expected niceread,1
superbread,1
excellentread,1
good productsread,1
niceread,1
nice product longliferead,1
goodread,1
worthyread,1
nice product thank flipkart original mavis read,1
nice product read,1
goodread,1
goodread,1
received original productread,1
good shutles read,1
goodread,1
one ball play one weekread,1
genuine productread,1
best product whole yonex companyread,1
bad qualityread,0
niceread,1
goodread,1
bottom quality mark wooded cork break apart directly hit frameread,1
okay okread,1
goodread,1
okread,1
genuine product received perfect conditionread,1
goodread,1
easily got damagedread,0
worst boxread,0
goodread,1
time delivery quality goodread,1
day getting bad qualityread,1
shtles nice orignal one buy siteread,1
nice read,1
shuttle quality wise good actually need hit shuttle power even thought wontread,1
bad goodread,0
goodread,1
bad productread,0
goodread,1
poor quality dont buyread,0
goodread,1
nice cost highread,1
product good price highread,1
niceread,1
goodread,1
good productread,1
quality goodread,0
goodread,1
niceread,1
goodread,1
goodread,1
fantasticread,1
full balanced shuttle great experience flipkartread,1
okayread,1
goodread,1
shuttle smooth like itread,1
goodread,1
best shuttle intermediate playersread,1
niceread,1
superb qualityread,1
superread,1
worestread,0
excellentread,1
price highread,1
nice productread,1
best qualityread,1
goodread,1
goodread,1
good quality discount read,1
good product qualityread,1
set shuttle fine long lastic sustainableread,1
worth buyread,1
prodct good long lasting powerfullread,1
reliable product best serviceread,1
try reduce cost productsread,1
great shuttleread,1
well conditionread,1
always goodread,1
product goodbut price costlyread,1
great shuttle best allread,1
superread,1
nothing say hate fantasticread,1
okread,1
goodproductread,1
goodread,1
valuable product read,1
quality goodread,1
goodread,1
niceread,1
best qualityread,1
good productread,1
nice shuttleread,1
okread,1
excellentread,1
goodread,1
durable pretty smooth controllingread,1
goodread,1
goodread,1
good oneread,1
goodread,1
goodread,1
good quality productread,1
niceread,1
good read,1
gud qualityread,1
goodread,1
goodread,1
worstread,0
goodread,1
niceread,1
good productread,1
worst product qulityread,0
goodread,1
awesomegot pricethank much flipkartread,1
goodread,1
nice productsread,1
expected thank youread,1
goodread,1
using product mavis year time poor quality shuttle receivedread,0
niceread,1
good variginalread,0
good recommendedread,1
best yonexread,1
nice og productread,1
niceread,1
bad quality productread,0
goodread,1
worst product buy online shop yonex mavis read,0
supr read,1
shuttle nice nothing complain aboutread,1
niceread,1
debate best market always stockread,1
excellent item good performanceread,1
nice n original productread,1
good shuttleread,1
goodread,1
good productread,1
really nice use long time particularly seller bptlread,1
goodread,1
original productread,1
good priduct qualityread,1
good productread,1
badread,1
worst product shuttle lasting single matchread,0
nice productread,1
goodread,1
price segment one best shuttle yonex im used product last year experience best segment read,1
fake shuttle didnt even last day shuttle broken manner bottom cork kept breaking without even damaging skirt without notable wear tear caused playingread,0
super productread,1
superread,1
received original qualitydurability pretty good got original mavis thanksread,1
attrocious product worth please avoid selling item sustain marketread,0
product although satisfies qualityread,1
good qualityread,1
okayread,1
durable productread,1
quality adequateread,0
good onesread,1
nice shuttleread,1
best produce genuineread,1
goodread,1
mavis shuttlecock best product received original maybe fault supplier could play one two game basic intermediate using one shuttlecock original shuttlecock could play match careful buyingread,0
good productread,1
worst quality never expected flipkartread,0
goodread,1
genuine shuttle hence trusted sellerread,1
geniune product durable thanks flipkartread,1
original shuttle ni doubtread,1
great dealread,1
good productread,1
good daily use price around would goodread,1
quality shuttle come downread,1
nice productread,1
goodread,1
great comboread,1
goodread,1
excellentread,1
worst quality fault yonex hera pheri done flipkart facility centre fare costumer loss time moneyread,0
good product thanks flipkart fastest deliveryread,1
product low quality waste moneyread,0
super quality worth moneyread,1
always prefer one read,1
product goodread,1
good qualityread,1
shuttle excellent many thinking shuttle buying develivered duplicate one realread,1
really goodread,1
good read,1
superread,1
goodread,1
goodread,1
original one one day delivery within hrsread,1
become damaged two gamesread,1
nice game loose corkread,1
goodread,1
goodread,1
goodread,0
goodread,1
game spinningread,1
goodread,1
goodread,0
niceread,1
goodread,1
goodread,1
nice goodread,1
badread,0
superbread,1
goodread,1
usual best marketread,1
excellent shuttle intermediate player indoorread,1
quality product become poor buying flipkartnit recommendedread,0
niceread,1
worst qualityread,0
goodread,1
worth costread,1
suparread,1
goodread,1
best marketread,1
good product better yonex suttle range aproxread,1
good qualityread,1
goodread,1
nice good qualityread,1
good productread,1
excellent productread,1
good sbuttlesread,1
good delivery date lateread,1
product good received stock month befor manufacturedread,1
great product timely deliveryread,1
goodread,1
bestread,1
best qualityread,1
daughter happy n dilivary boy behavior goodread,1
light weight compare offline productsread,0
good qualityread,1
niceread,1
good productread,1
good oneread,1
mavis nylon shuttle quality poor lost shape within two match playread,0
fantastic product absolutely amazed pricing speedy delivery within day doorstepread,1
awesomeread,1
nice product good quality pic slowread,1
niceread,1
nice shuttleread,1
goodread,1
goodread,1
goodread,0
ok goodread,1
good playread,1
nice productread,1
badread,0
value money bad productread,0
lasted hour playread,1
goodread,1
goodread,1
good productread,1
niceread,1
good playread,1
good qualityread,1
good productread,1
good qualityread,1
nice must buyread,1
faster shuttle bought shop getting spoilt hour game shot go courtread,1
good productread,1
bestread,1
excellentread,1
good productread,1
shuttle getting damaged single gameread,0
niceread,1
superb read,1
fine play costlyread,1
goodread,1
bottom cork lot hole easily get damaged matchesread,0
product good qualityread,1
fast delivery price low cost happy buy itemread,1
valueable productread,1
nice productread,1
got original product play intermediate advance level day passed still using first shuttle barrel single shuttle last around day hr game daily satisfied product durability play outdoor cement courtread,1
goodread,1
nice productread,1
good bring money westread,0
nice goodread,1
nice intermediate level suitfor begginersread,1
awesomesuper fantastic satalread,1
power playread,1
awesome productread,1
long liferead,1
counterfeit product playable game worst qualityread,0
superread,1
goodread,1
worth moneyread,1
super read,1
orignal shuttleloved read,1
worsted product received flipkartread,0
quality durability worstread,0
best productread,1
old stockread,0
good productread,1
durable slow even flightread,1
goodread,1
goodread,1
superread,1
badread,0
suparread,1
worst play one day brokenread,1
bad quality shuttle bottom part come one gameread,0
bad quality yonex mavis shuttle cork bad never got cork dont even get game bad cork cork box pulled togetherread,0
good oneread,1
bad qualityread,0
bad qualityread,0
goodread,1
excellence oneread,1
yonex mavis best shuttle shuttle flight mavis good love product read,1
best read,1
shuttle last day satisfactoryread,0
worst quality bad one two game head separated totally waste moneyread,0
quality goodread,0
excellent productread,1
good shuttle go itread,1
goodread,1
niceread,1
original shuttleread,1
fineread,1
good read,1
goodread,1
good dealread,1
good productread,1
good productread,1
quickly damaged wingsread,0
badread,0
good productread,1
goodread,1
shuttle quality worst usually mavis shuttle last day based play shuttle lasting one day worst boxesread,0
good qualityread,1
good beginnersread,1
nice delivery boy good behavior thanks flipkartread,1
product new quality excellent usualread,1
wonderful thank utpal daread,1
nice oneread,1
superread,1
good product read,1
nice productread,1
goodread,1
nice productread,1
goodread,1
niceread,1
goodread,1
poor qualityread,0
worst stock broken two gamesread,1
niceread,1
bad qualityread,0
nice shuttleread,1
poor quality dont buy againread,0
bad nylon shuttleonly one match life spanread,0
superread,1
best shuttle outdoor badmintonread,1
simply super read,1
worrestread,0
goodread,1
nice productread,1
product fast moving wastage moneyread,0
nice product read,1
quality poorread,1
good productread,1
good qualityread,1
badread,1
wonderfulread,1
goodread,1
worst productread,0
quality poorread,1
good one time deliveryread,1
supportread,1
nice productread,1
niceread,1
goodread,1
goodread,1
goodread,1
one sound workingread,1
original stuffelse know read,1
good productread,1
good productread,1
goodread,1
good productread,1
nice productread,1
quality product bad dont waste moneyread,0
goodread,1
goodread,1
expensive good quality dont buyread,0
goodread,1
good quality betterread,1
shuttle received fake literally broke within week usage every time took new shuttle box looked new broke within game two maxread,0
within one hour two shuttle got broken bottom buy onlineread,0
worst productread,0
good productread,1
goodread,1
niceread,1
good qualityread,1
product branded niceread,1
awesome product indoor outdoor also price high read,1
quality nice appreciateread,1
satisfiedread,1
bad productread,0
goodread,1
good productread,1
nice productread,1
goodread,1
awasomeread,1
really awesomeread,1
superread,1
goodread,1
good productread,1
shuttle working perfectlyread,1
niceread,1
gudread,1
super goodread,1
better intermediate nd biggnerread,1
goodread,1
good productread,1
fineread,1
super exalent iam happy thank youread,1
expected qualityread,1
bad qualityread,1
niceread,1
waste producthigh speed shuttle useful intermediate advanced playerslooting money substandard productsread,0
goodread,1
fabulous shuttlecock good medium playersread,1
worstread,0
goodread,1
order yonex mavis slow speed ball send low quality ball puy tha product really worst quality dont buy product pleaseread,0
wa goodread,1
superread,1
goodread,1
awsome product one shuttle wear gamesread,1
good quality productread,1
good qualityread,1
nice shuttlecocksread,1
goodread,1
old productread,1
goodread,1
good productread,1
bad read,0
orginal quality productread,1
good high priceread,1
best shuttlecock indoor outdoor badmintonread,1
goodread,1
worst qualityread,0
excellent productread,1
exlentread,1
goodread,1
superread,1
perfectread,1
good costlyread,1
good productread,1
goodread,1
goodread,1
good quality happy purchaseread,1
original bestgo without hesitationread,1
good product great experienceread,1
shuttle good read,1
tq flippy original barrelread,1
real yonexsatisfiedread,1
superread,1
best shuttle mavis company thanks flipcart service read,1
superread,1
goodread,1
bestread,1
awesomeread,1
awesome qualityread,1
goodread,1
goodread,1
nice read,1
awesome product indeed closest feather shuttleread,1
perfectread,1
nice product best quality beginner go itreally worth money spentread,1
perfectly geniune productthank sellerread,1
good productread,0
best classread,1
superread,1
greatread,1
goodread,1
niceread,1
goodread,1
goodread,1
goodread,1
worst qualityread,0
superb nodoubtread,1
term flight stability durability better consider nearly similar feather shuttle rsl otherwise mavis shuttle etc goodread,1
best shuttle price quality good good playread,1
gud quality superread,1
yonex always best practice job nicelyread,1
good productread,1
best quality read,1
nice qualityread,1
bad quality even stable one game read,0
shuttle used bedread,0
goodread,1
best pricebest shuttleplease offer price againso buy barrel againread,1
goodread,1
quality box goodread,0
seller sent duplicate productread,0
good quality genuine productread,1
nice best productread,1
quality goodread,1
goodread,1
nice productread,1
good product reasonable priceread,1
averageread,1
quality goodread,0
best one beginner intermediate playersread,1
amazingread,1
worst qualityread,0
go itread,1
goodread,1
good previewsread,1
awesomeread,1
good qualitylove itread,1
bad qualityread,0
bad goodread,1
superread,0
time favourite badmintonread,1
good read,1
goodread,0
nice productread,1
better shuttle beginner humid areasread,1
niceread,1
best regular playerdurable shuttle best daily usesread,1
good one price highread,1
quality expectedread,0
goodread,1
ok goodread,1
nice like tnq much flipkartread,1
nice shuttle pro well badminton playing beginner soo recommend buy shuttle worthy mean value money say read,1
good qualityread,1
goodread,1
googread,1
good indoor courtsread,1
compared one bought shop seems relatively bit slowread,1
good hard play durable playing raining best read,1
nice happyread,1
bad experienceread,0
goodread,1
good shuttleread,1
goodread,1
nice shuttleread,1
good quality shuttle worth itread,1
good okyread,1
goodread,1
great buy original shuttle delivered however box bit deformed received didnt return took rick open packaging found original yonex shuttlesread,1
excellent shuttle go guyzread,1
product good delivery lateread,1
product quality badbroken shuttle within match read,0
superb packing keep upread,1
good productread,1
goodread,1
worst productread,0
best product available market today costlyread,1
bad experienceread,0
super oneread,1
day use shuttle uselessi dought qualityread,0
good experience original shuttle delivery within daysread,1
best product must buyread,1
niceread,1
goodread,1
original shuttle delivered value money go itread,1
nice superread,1
good product thanks flipkartread,1
bad real productread,0
good quality productread,1
nice productread,1
bad qualityread,0
superread,1
superread,1
badread,1
badread,1
thank youread,1
niceread,1
durability isnt good read,1
unbelievable best shuttleread,1
good qualityread,1
original product worstread,0
goodread,1
disappointedread,0
niceread,1
goodread,1
go shuttle professionalread,1
mast qualityread,1
original productit awesomeread,1
niceread,1
fabulous productsread,1
goodread,1
good productread,1
nice product thanx flipkartread,1
product markread,1
nice picread,1
goodread,1
originalread,1
okread,1
good qualityread,1
goodread,1
niceread,1
waste productread,0
tqread,1
worst quality ever receivedread,0
goodread,1
good productread,1
quality poorread,0
worst product worst appread,0
good productread,1
goodread,1
value moneyread,1
superread,1
satisfiedread,1
amazing read,1
good productread,1
goodread,1
fineread,1
nice shuttle love read,1
nice productread,1
poor quality westage money shuttle broken two three gamesread,0
niceread,1
waste product good quickly damageread,0
niceread,0
goodread,1
good productread,1
superread,1
bad produtvery badread,0
goodread,1
durability goodread,1
beautiful attractiveread,1
okread,1
niceread,1
good itemread,1
good product read,1
niceread,1
fake product lasting even dayread,0
nice shuttleread,1
product good qualityread,1
good shuttle everyone playing shuttleread,1
good product supperread,1
super productread,1
excellent qualityread,1
bestread,1
bad haaread,0
excellent product deliveryread,1
goodread,1
long lasting otherread,1
poor quality shuttle dameged soon think old stockread,0
niceread,1
good oneread,1
goodread,1
googread,1
niceread,1
goodread,1
damaged productread,0
goodread,1
superbread,1
good qualityread,1
superbread,1
nice product read,1
good product value moneyread,1
good qualityread,1
bad quality shuttle gone weekread,0
perfect everyoneread,1
superb quality nice packingread,1
goodread,1
one best shuttle outdoor playread,1
thank super goodread,1
goodread,1
goodread,1
worst product shuttle damaged old materialread,0
bad product returnedread,0
bad brotactread,0
good productread,1
grade product read,0
quality goodread,1
badread,0
goodread,1
niceread,1
goodread,1
badread,0
nice packing fast deliveryread,0
nice quit expensiveread,1
bad qualityread,0
normal quality speed playingread,0
goodread,1
perfect bed itanagarread,1
good read,1
nowadays coming hardy hr playing onlyquality going rate going upneed search alternativeread,1
excellentread,1
goodread,1
good oneread,1
second quality read,0
good shuttleread,1
super quality read,1
trustedand satisfiedread,1
worst experience filpkartread,0
good productread,1
goodread,1
best every badminton playerread,1
goodread,1
superread,1
flower damagedread,0
goodread,1
loved ekdum original qualityread,1
goodread,1
thanks flipkartread,1
nice productread,1
good productread,1
goodread,1
product damageread,1
goodread,1
fabulousread,1
okayread,1
quality badread,0
superbread,1
low quality cork expect game go first game cork come feather part stay brqnd new cheap quality expectes yonexread,0
goodread,1
good qualityread,1
goodread,1
niceread,1
niceread,1
shuttle flying fast getting damaged gamesread,1
good quality shuttle even playing outdoorread,1
goodread,1
good read,1
good productread,1
goodread,1
goodread,1
niceread,1
good shuttlecock outdoor indoor love shuttleread,1
goodread,1
okread,1
item damagedread,0
item poor qualityread,1
quality good read,1
yonex goodread,1
goodread,1
good qualityread,1
awesome projection low life compared liningread,1
good qualityread,1
bad quality time shuttle ball broken single match without hitting shot usually ball last day heavy match per day totally disappointed waste moneyread,0
goodread,1
quality expected play st day cork brokenread,0
goodread,1
whole box shuttle lasted week nowadays manufacturing heavily affected due covid resource crunchthey increasing price quality degrading drasticallyread,0
thanks quality product sendingread,1
goodread,1
good read,1
received mavis shuttle boox satisfied due fast speed head side havy wight two three game flye goodread,1
goodread,1
good product read,1
reliable professional shuttleread,1
orginalread,0
supabread,1
excellent shuttle love itread,1
good outdoor cork weight balanced pretty good liferead,1
wao original one read,1
okread,1
good qualityread,1
goodread,1
best classread,1
nice product tq flipkartread,1
horribleread,1
product model good playread,0
time cork goodread,1
superread,1
quality bad cork spinning playingread,0
good product thank u flipkartread,1
great playingread,1
nice productread,1
excellentread,1
quality product poorread,1
bestread,1
nice read,1
good product fast deliveryread,1
good shuttleread,1
good useread,1
love osm qualityread,1
loved read,1
nice product price getting high duration getting reduceread,1
excellent durabilityread,1
quality nowadays badread,1
goodread,1
good payread,1
good productread,1
ok badread,1
nice high servicesread,1
ok good itread,1
expensiveread,0
superbread,1
goodread,1
go bestread,1
good qualityread,1
bad productread,0
goodread,1
worst shuttlesread,0
perfect one play orginal productread,1
last long enough poor qualityread,0
superread,1
one best shuttle ive playedread,1
fantasticread,1
goodread,1
good oneread,1
bestread,1
goodread,1
niceread,1
goodread,1
averageread,1
bad quality ball box worstread,0
nice productread,1
super compare product quality awesomeread,1
good qualityread,1
niceread,1
excellentread,1
im order product original received happy thanksread,1
niceread,1
niceread,1
niceread,1
goodread,1
original product long lastingread,1
super quality product tq flipkartread,1
superread,1
good goodread,1
good quality long liferead,1
goodread,1
happyread,1
goodread,1
good playread,1
goodread,1
goodread,1
best allread,1
niceread,1
