CarID,Brand,Model_Year,Fuel_Type,Transmission,Km_Driven,Mileage_kmpl,Engine_CC,Owners,Price_Lakhs
149,Mahindra,2013,CNG,Automatic,86295,20.3,1685,1,23.89
150,Honda,2020,Electric,Manual,190901,10.5,1488,2,21.76
151,Mahindra,2007,Diesel,Manual,47159,25.0,2227,2,5.98
152,Kia,2017,Diesel,Automatic,35132,18.9,1054,0,6.62
153,Hyundai,2007,Electric,Automatic,169255,25.7,1224,1,6.21
154,Mahindra,2015,Electric,Manual,72196,10.1,2864,3,5.69
155,Toyota,2014,CNG,Automatic,127799,22.0,1168,3,14.35
156,Honda,2012,Petrol,Manual,45914,26.4,2956,2,10.37
157,Toyota,2023,Electric,Manual,63859,13.7,2523,1,20.27
158,Mahindra,2010,Petrol,Automatic,128925,20.0,2813,3,11.88
159,Honda,2019,Electric,Manual,144519,23.3,1264,1,12.55
160,Maruti,2017,CNG,Automatic,84059,21.4,2462,1,22.22
161,Honda,2020,CNG,Manual,182530,28.2,1094,3,8.61
162,Kia,2008,CNG,Manual,149044,10.5,1530,3,4.52
163,Kia,2017,Electric,Manual,147785,12.9,2451,0,19.06
164,Maruti,2010,Diesel,Automatic,154119,20.3,1376,2,6.61
165,Kia,2022,CNG,Automatic,68328,23.4,1314,0,9.5
166,Hyundai,2014,Petrol,Manual,117109,16.2,1110,0,12.65
167,Honda,2020,CNG,Automatic,137693,24.8,1199,3,19.27
168,Toyota,2022,CNG,Automatic,91742,14.2,1897,1,6.29
169,Toyota,2009,Diesel,Manual,55157,27.3,2365,3,18.03
170,Mahindra,2020,Electric,Manual,157017,28.5,1434,0,17.38
171,Maruti,2007,CNG,Automatic,133976,26.2,1027,2,1.61
172,Kia,2015,Petrol,Automatic,34912,29.6,2872,1,8.92
173,Hyundai,2024,Petrol,Manual,119130,20.1,1836,1,9.95
174,Toyota,2018,Electric,Manual,107525,13.9,1671,1,20.22
175,Honda,2007,Petrol,Automatic,129329,28.0,2291,3,17.84
176,Mahindra,2012,CNG,Manual,20893,12.4,2060,1,23.31
177,Tata,2013,CNG,Automatic,27859,29.7,2757,3,6.64
178,Mahindra,2005,CNG,Automatic,70397,23.8,1231,2,2.54
179,Maruti,2015,Diesel,Automatic,154505,10.3,1472,0,16.11
180,Kia,2018,Diesel,Automatic,173983,23.9,2690,1,6.02
181,Toyota,2011,Diesel,Manual,137377,14.8,2530,3,2.88
182,Tata,2024,CNG,Automatic,199548,27.2,1934,3,5.81
183,Tata,2020,CNG,Automatic,86416,14.2,2224,0,16.77
184,Toyota,2020,CNG,Manual,66304,25.5,2897,3,9.88
185,Toyota,2009,CNG,Manual,176378,23.0,1173,0,14.77
186,Mahindra,2023,Electric,Manual,186644,10.5,2502,0,4.24
187,Honda,2006,CNG,Manual,19409,19.0,2257,3,12.07
188,Tata,2021,Diesel,Automatic,48882,27.6,1130,0,11.08
189,Mahindra,2022,CNG,Manual,32290,26.6,2748,3,13.28
190,Honda,2020,Petrol,Automatic,48485,29.9,1191,2,16.53
191,Toyota,2006,Diesel,Automatic,192367,19.2,2858,1,8.86
192,Maruti,2005,Diesel,Manual,46077,20.2,1443,3,17.15
193,Kia,2016,Diesel,Manual,7915,29.7,2122,0,15.85
194,Mahindra,2020,CNG,Manual,100857,24.2,1347,0,3.01
195,Honda,2007,Electric,Manual,83204,14.2,2782,0,13.43
196,Maruti,2024,Petrol,Automatic,117179,21.4,2355,0,16.2
197,Tata,2024,CNG,Automatic,163425,13.6,1952,1,7.95
198,Hyundai,2007,Electric,Automatic,180436,11.4,2758,0,13.88
199,Tata,2006,Diesel,Automatic,70577,14.7,1834,2,13.22
200,Hyundai,2022,Electric,Manual,182154,29.0,1921,0,22.14
201,Honda,2007,Electric,Automatic,194507,29.6,917,1,11.83
202,Tata,2021,Electric,Manual,189817,11.5,1763,0,4.25
203,Kia,2011,Petrol,Manual,13933,27.1,2493,2,20.7
204,Mahindra,2023,Diesel,Manual,57314,28.5,952,3,22.83
205,Kia,2021,Petrol,Manual,32660,28.1,1334,3,22.34
206,Honda,2013,Petrol,Manual,50128,13.2,2981,2,9.27
207,Honda,2018,CNG,Automatic,140919,9.5,1930,2,2.41
208,Mahindra,2018,CNG,Automatic,35670,9.3,2581,1,9.8
209,Mahindra,2010,Petrol,Manual,90994,19.4,2159,2,16.69
210,Hyundai,2005,Diesel,Automatic,160344,20.0,1124,1,23.38
211,Mahindra,2007,CNG,Manual,35594,24.9,1545,0,5.54
212,Kia,2008,Diesel,Manual,122065,14.7,1153,2,22.61
213,Kia,2019,Diesel,Manual,167190,25.9,825,0,7.85
214,Toyota,2021,Diesel,Manual,88617,18.9,2208,3,15.35
215,Hyundai,2014,CNG,Manual,193501,16.1,2204,2,10.84
216,Kia,2007,Electric,Automatic,154270,26.7,2786,1,9.06
217,Kia,2010,Petrol,Automatic,154111,8.1,1483,2,16.82
218,Tata,2017,CNG,Automatic,72723,27.4,1050,1,14.72
219,Hyundai,2016,Electric,Automatic,48086,29.0,1565,0,16.88
220,Mahindra,2020,Petrol,Automatic,107996,22.0,1915,0,14.96
221,Tata,2017,Diesel,Manual,189719,23.6,2289,0,11.22
222,Tata,2010,Electric,Automatic,86590,20.0,2482,2,24.42
223,Honda,2017,Petrol,Automatic,154118,27.9,1043,0,12.61
224,Mahindra,2011,CNG,Manual,124672,16.6,1875,2,8.11
225,Maruti,2019,CNG,Manual,152056,29.6,893,1,3.82
226,Tata,2018,Electric,Manual,167441,17.3,2067,3,8.21
227,Mahindra,2006,CNG,Automatic,186783,29.0,988,3,6.35
228,Hyundai,2008,Diesel,Manual,93323,16.7,2032,1,2.2
229,Hyundai,2012,Diesel,Automatic,127728,20.1,1137,2,23.05
230,Toyota,2021,Diesel,Automatic,113230,25.5,2454,1,9.32
231,Kia,2008,Electric,Manual,73006,12.3,2620,1,2.02
232,Maruti,2022,Petrol,Automatic,172548,24.9,2313,0,12.02
233,Maruti,2017,CNG,Automatic,32077,29.0,1267,2,5.58
234,Toyota,2024,CNG,Manual,35579,14.1,1864,2,16.37
235,Maruti,2013,Electric,Automatic,125216,22.9,2764,1,2.52
236,Tata,2007,CNG,Manual,53942,22.5,2009,3,15.31
237,Hyundai,2020,Petrol,Automatic,70581,12.5,2614,0,9.83
238,Mahindra,2010,CNG,Manual,99237,26.4,1137,0,4.31
239,Kia,2016,CNG,Manual,195598,28.4,2345,2,3.34
240,Honda,2008,CNG,Automatic,197906,15.1,1209,1,18.93
241,Toyota,2005,CNG,Automatic,191928,26.4,2597,0,6.16
242,Kia,2011,CNG,Automatic,86570,22.6,2121,1,21.25
243,Hyundai,2011,CNG,Automatic,182690,11.6,1978,3,20.79
244,Kia,2017,CNG,Automatic,155054,19.1,2722,2,23.53
245,Tata,2005,CNG,Automatic,65925,9.8,1269,1,16.73
246,Toyota,2010,CNG,Automatic,122848,9.5,2895,1,14.89
247,Mahindra,2016,CNG,Automatic,96071,30.0,1074,0,11.03
248,Maruti,2013,Electric,Automatic,30780,11.3,2008,3,16.79
249,Mahindra,2006,Electric,Manual,32180,10.8,2963,0,9.37
250,Honda,2011,Diesel,Manual,49964,14.7,1458,0,4.95
251,Toyota,2011,Electric,Manual,190863,14.7,2773,2,14.74
252,Honda,2009,CNG,Manual,196541,11.9,2586,1,23.16
253,Toyota,2005,Petrol,Automatic,96993,17.1,1313,1,7.63
254,Honda,2018,Electric,Manual,81930,26.8,2685,0,7.96
255,Tata,2007,Diesel,Automatic,64603,14.2,1983,0,15.95
256,Tata,2009,Petrol,Manual,47192,26.8,850,1,13.89
257,Toyota,2014,CNG,Manual,186851,18.4,2619,3,14.79
258,Hyundai,2023,CNG,Automatic,30017,27.5,2523,1,16.49
259,Honda,2006,Diesel,Manual,48886,19.6,2304,0,12.63
260,Hyundai,2008,Electric,Manual,177627,16.0,1023,3,2.16
261,Hyundai,2008,CNG,Manual,68354,12.4,2825,3,9.84
262,Honda,2009,Diesel,Manual,153987,26.2,896,2,12.58
263,Honda,2015,Diesel,Manual,9381,9.5,2476,2,24.72
264,Hyundai,2008,Petrol,Manual,29286,18.4,1187,0,12.72
265,Hyundai,2022,Diesel,Automatic,164687,20.6,1409,3,7.88
266,Tata,2005,Diesel,Manual,84320,21.7,2942,3,11.46
267,Maruti,2006,CNG,Automatic,29984,18.2,1108,3,6.33
268,Maruti,2018,CNG,Automatic,193218,11.8,1549,0,19.01
269,Mahindra,2013,Diesel,Automatic,49550,10.9,1095,2,23.21
270,Mahindra,2005,Electric,Automatic,117351,27.0,2736,1,20.43
271,Maruti,2024,Diesel,Manual,32179,11.0,2296,3,13.17
272,Honda,2006,Electric,Automatic,176020,23.5,2889,0,16.81
273,Mahindra,2007,Electric,Automatic,89813,13.8,1705,2,12.85
274,Tata,2015,Diesel,Automatic,148065,26.3,2814,3,23.06
275,Tata,2022,Electric,Automatic,61152,9.5,2942,1,14.18
276,Toyota,2005,Electric,Automatic,63663,8.3,2439,2,11.52
277,Maruti,2018,Electric,Manual,143238,25.7,1266,1,17.5
278,Toyota,2008,Petrol,Automatic,24179,20.1,1792,1,13.1
279,Kia,2021,Electric,Automatic,124266,14.8,1229,0,6.2
280,Hyundai,2014,Diesel,Automatic,128569,23.3,2188,0,3.42
281,Tata,2014,Petrol,Manual,165891,17.4,2295,1,2.9
282,Maruti,2007,Diesel,Automatic,16163,18.5,1545,3,12.15
283,Tata,2020,Petrol,Manual,150164,19.1,1903,2,5.19
284,Honda,2006,Electric,Automatic,86739,9.5,2849,0,12.37
285,Kia,2022,CNG,Manual,144552,15.0,1849,2,24.82
286,Hyundai,2022,Petrol,Manual,155626,25.0,1513,2,14.39
287,Kia,2015,CNG,Manual,60069,13.9,2521,3,14.68
288,Toyota,2016,Petrol,Manual,100455,17.7,2328,3,11.07
289,Honda,2005,Diesel,Manual,33935,17.0,987,3,11.64
290,Tata,2011,Diesel,Automatic,23731,20.4,1311,0,13.43
291,Honda,2008,Petrol,Manual,140998,24.7,2180,2,4.91
292,Toyota,2020,CNG,Manual,82249,9.6,839,2,17.82
293,Tata,2011,Diesel,Manual,73979,16.2,1211,0,17.33
294,Kia,2017,Petrol,Automatic,113045,17.8,2796,3,7.84
295,Tata,2024,Diesel,Automatic,189069,16.7,1949,0,4.21
296,Tata,2011,Electric,Automatic,87900,13.0,1011,0,3.18
297,Honda,2020,Petrol,Manual,63583,18.2,2322,3,9.63
298,Tata,2023,Electric,Automatic,169865,25.4,889,0,3.33
299,Tata,2006,Electric,Manual,132067,15.9,1432,0,20.62
300,Hyundai,2013,CNG,Automatic,59066,11.0,1665,0,17.35
301,Honda,2005,CNG,Manual,63268,27.5,2903,2,21.24
302,Hyundai,2022,Petrol,Manual,78358,19.1,888,2,1.53
303,Kia,2019,Diesel,Automatic,148035,11.7,2781,0,3.87
304,Kia,2010,CNG,Manual,86190,17.9,926,0,3.29
305,Maruti,2023,Petrol,Manual,155486,12.4,865,1,8.13
306,Mahindra,2018,CNG,Manual,185056,13.3,1200,2,23.13
307,Toyota,2019,Petrol,Automatic,64910,8.1,1061,0,15.7
308,Mahindra,2018,Electric,Automatic,77269,10.4,1847,3,5.08
309,Honda,2017,Electric,Manual,137243,13.2,1877,2,5.61
310,Tata,2013,Petrol,Automatic,102687,8.6,1213,2,2.83
311,Maruti,2024,CNG,Manual,167120,20.0,1975,2,14.06
312,Mahindra,2011,Petrol,Automatic,47807,24.3,2829,0,17.23
313,Mahindra,2007,Electric,Manual,21501,19.4,2126,1,5.43
314,Honda,2019,Electric,Automatic,76242,9.4,2857,3,12.92
315,Tata,2012,Electric,Manual,67523,22.5,2203,2,22.43
316,Toyota,2021,Diesel,Manual,100192,10.2,2205,0,11.11
317,Kia,2022,Petrol,Manual,97990,18.9,1617,3,5.35
318,Maruti,2008,Diesel,Automatic,95664,22.3,2652,3,2.07
319,Toyota,2021,CNG,Automatic,123164,21.9,2677,0,9.27
320,Maruti,2010,Diesel,Manual,118691,16.1,2032,3,9.04
321,Toyota,2007,CNG,Manual,143675,24.6,2705,3,7.74
322,Mahindra,2007,Diesel,Manual,104002,23.9,1802,2,23.83
323,Kia,2010,CNG,Manual,45988,9.9,2867,2,2.62
324,Honda,2024,Electric,Automatic,147085,26.2,1636,3,2.04
325,Honda,2015,CNG,Automatic,152801,16.1,958,1,1.98
326,Honda,2005,CNG,Automatic,67165,16.4,841,2,13.49
327,Maruti,2024,CNG,Automatic,45903,27.1,2614,1,8.79
328,Toyota,2008,Diesel,Manual,188731,22.9,909,2,7.81
329,Tata,2022,Electric,Manual,138395,22.6,1921,0,3.25
330,Toyota,2019,Electric,Manual,118223,24.5,1031,0,4.53
331,Hyundai,2022,Electric,Automatic,40967,28.9,1878,0,21.89
332,Honda,2013,Electric,Manual,179683,11.1,917,3,1.73
333,Mahindra,2018,Diesel,Automatic,135110,14.9,2445,1,23.13
334,Hyundai,2017,Electric,Manual,175019,29.3,2400,1,4.98
335,Tata,2007,Electric,Automatic,115642,12.2,1974,2,2.64
336,Maruti,2011,CNG,Automatic,110884,21.0,2119,3,19.38
337,Kia,2011,Petrol,Automatic,86717,14.2,2892,3,9.92
338,Hyundai,2005,CNG,Manual,167613,11.5,1002,2,24.39
339,Mahindra,2006,Petrol,Manual,147943,26.3,2502,0,4.96
340,Maruti,2005,CNG,Automatic,157025,18.9,2775,3,1.7
341,Mahindra,2024,CNG,Manual,84337,11.5,1636,0,5.56
342,Toyota,2015,Diesel,Manual,34825,21.9,1597,1,10.12
343,Hyundai,2005,Petrol,Automatic,145297,10.0,2933,2,4.98
344,Mahindra,2012,CNG,Manual,143675,28.3,1663,3,13.98
345,Hyundai,2009,CNG,Automatic,16696,29.2,1388,0,2.39
346,Maruti,2022,Petrol,Automatic,102943,29.5,1726,2,17.04
347,Honda,2007,Electric,Automatic,198741,19.0,2368,1,16.19
348,Tata,2015,Electric,Manual,152711,28.2,2261,2,22.23
349,Toyota,2024,Electric,Manual,63944,10.0,1791,0,24.66
350,Toyota,2011,Petrol,Automatic,81259,8.6,2183,2,15.76
351,Kia,2021,Diesel,Manual,169766,25.7,925,1,11.82
352,Kia,2006,Electric,Manual,156099,22.4,826,2,18.33
353,Maruti,2016,Petrol,Automatic,159125,10.3,1655,2,20.97
354,Honda,2005,CNG,Automatic,107127,29.7,1460,1,19.58
355,Mahindra,2016,Electric,Automatic,24058,20.1,1782,0,6.66
356,Tata,2007,Petrol,Automatic,105417,13.8,2258,0,20.02
357,Mahindra,2024,Electric,Manual,88832,10.3,841,3,22.5
358,Kia,2011,Petrol,Automatic,88702,8.0,2528,0,20.82
359,Honda,2013,CNG,Manual,33061,26.4,2871,0,8.77
360,Honda,2008,Diesel,Automatic,24905,29.6,2572,1,20.83
361,Maruti,2016,CNG,Automatic,96789,15.6,1865,2,17.98
362,Toyota,2011,CNG,Manual,141738,18.5,1671,2,7.11
363,Toyota,2011,Petrol,Automatic,182623,20.7,2498,2,20.39
364,Kia,2008,Petrol,Manual,63574,8.3,1384,0,21.23
365,Hyundai,2008,Petrol,Manual,45736,10.6,932,2,13.08
366,Hyundai,2009,CNG,Automatic,87766,10.8,2341,3,22.93
367,Toyota,2009,Electric,Manual,57842,13.0,1935,3,20.71
368,Hyundai,2020,Electric,Automatic,125018,11.2,2086,2,17.83
369,Kia,2016,Diesel,Automatic,163278,8.1,2588,0,15.56
370,Honda,2006,Electric,Manual,133457,9.0,2243,2,14.92
371,Toyota,2017,Electric,Manual,49457,16.0,2414,0,5.21
372,Kia,2013,Petrol,Manual,119210,12.4,1159,1,3.97
373,Mahindra,2023,CNG,Manual,80016,27.5,1050,2,20.76
374,Kia,2011,Diesel,Automatic,35459,13.0,883,1,22.8
375,Hyundai,2017,CNG,Manual,100824,29.9,2542,2,9.06
376,Honda,2005,CNG,Automatic,183928,19.5,2894,1,3.36
377,Maruti,2013,Petrol,Manual,73731,14.6,1880,3,18.14
378,Honda,2017,Diesel,Automatic,182604,26.4,1085,1,6.22
379,Honda,2015,CNG,Manual,91866,13.0,1560,2,17.79
380,Tata,2011,Petrol,Manual,151382,26.8,2674,0,2.4
381,Hyundai,2007,Petrol,Manual,110315,25.4,1891,2,11.06
382,Kia,2024,Diesel,Manual,161250,21.2,1978,2,16.05
383,Kia,2024,Electric,Manual,109410,27.6,894,2,11.47
384,Hyundai,2022,CNG,Automatic,193837,29.0,1835,3,9.37
385,Hyundai,2021,Diesel,Manual,35308,14.8,1828,2,4.96
386,Tata,2008,Electric,Automatic,90788,29.1,944,3,11.46
387,Tata,2007,Electric,Manual,23086,12.0,2589,2,9.66
388,Tata,2006,Petrol,Automatic,75293,27.7,2056,0,5.71
389,Toyota,2010,Diesel,Manual,38495,11.8,2274,0,22.06
390,Kia,2014,Diesel,Manual,159172,13.6,2901,2,24.07
391,Honda,2013,Petrol,Manual,73524,27.3,2787,1,12.58
392,Mahindra,2018,Electric,Manual,16888,9.5,1558,3,11.18
393,Toyota,2018,Electric,Automatic,110104,19.4,1520,1,1.64
394,Toyota,2008,Electric,Automatic,61619,25.4,1419,1,7.81
395,Mahindra,2005,Diesel,Manual,55498,12.3,2351,3,12.99
396,Mahindra,2019,CNG,Automatic,150984,28.1,2306,3,20.14
397,Kia,2013,Petrol,Manual,179453,16.7,2517,0,19.52
398,Tata,2011,Electric,Manual,165416,12.1,2224,0,15.73
399,Toyota,2009,Electric,Automatic,152126,22.1,1763,2,17.57
