OrderID,CustomerID, ProductCategory, ProductPrice,Quantity,DiscountPercent,PaymentMethod,OrderStatus,City,OrderDate,TotalAmount,DiscountAmount,FinalAmount,Month,Year
100099,2500,Beauty,1887,9,15,Debit Card,Cancelled,Mumbai,2023-04-09,16983,2547.45,14435.55,4,2023
100100,1702,Sports,772,5,20,Credit Card,Returned,Mumbai,2023-04-10,3860,772.0,3088.0,4,2023
100101,3449,Electronics,2290,7,5,Debit Card,Cancelled,Delhi,2023-04-11,16030,801.5,15228.5,4,2023
100102,3777,Electronics,3869,4,0,Cash,Cancelled,Chennai,2023-04-12,15476,0.0,15476.0,4,2023
100103,2579,Sports,4472,1,0,Credit Card,Returned,Mumbai,2023-04-13,4472,0.0,4472.0,4,2023
100104,1161,Home,4824,3,20,Credit Card,Returned,Mumbai,2023-04-14,14472,2894.4,11577.6,4,2023
100105,1201,Home,1833,5,20,UPI,Returned,Delhi,2023-04-15,9165,1833.0,7332.0,4,2023
100106,2981,Home,1717,3,15,Debit Card,Returned,Delhi,2023-04-16,5151,772.65,4378.35,4,2023
100107,1995,Sports,4493,7,10,Cash,Delivered,Pune,2023-04-17,31451,3145.1,28305.9,4,2023
100108,3317,Electronics,2857,9,0,UPI,Delivered,Bangalore,2023-04-18,25713,0.0,25713.0,4,2023
100109,4934,Sports,3848,6,20,UPI,Cancelled,Chennai,2023-04-19,23088,4617.6,18470.4,4,2023
100110,1815,Sports,3788,1,0,Debit Card,Delivered,Pune,2023-04-20,3788,0.0,3788.0,4,2023
100111,4342,Home,1737,7,20,UPI,Cancelled,Mumbai,2023-04-21,12159,2431.8,9727.2,4,2023
100112,1455,Clothing,3337,3,5,Debit Card,Delivered,Delhi,2023-04-22,10011,500.55,9510.45,4,2023
100113,4533,Electronics,297,5,0,UPI,Returned,Bangalore,2023-04-23,1485,0.0,1485.0,4,2023
100114,4798,Home,3415,4,5,Debit Card,Returned,Pune,2023-04-24,13660,683.0,12977.0,4,2023
100115,2275,Clothing,4730,5,0,Cash,Delivered,Bangalore,2023-04-25,23650,0.0,23650.0,4,2023
100116,2016,Clothing,4932,5,10,Debit Card,Delivered,Delhi,2023-04-26,24660,2466.0,22194.0,4,2023
100117,4773,Beauty,3950,6,15,Debit Card,Cancelled,Pune,2023-04-27,23700,3555.0,20145.0,4,2023
100118,3343,Electronics,3357,6,5,Credit Card,Cancelled,Pune,2023-04-28,20142,1007.1,19134.9,4,2023
100119,4796,Clothing,4883,8,20,Cash,Cancelled,Bangalore,2023-04-29,39064,7812.8,31251.2,4,2023
100120,3767,Home,543,8,10,Cash,Returned,Delhi,2023-04-30,4344,434.4,3909.6,4,2023
100121,4820,Beauty,4866,9,0,Cash,Returned,Mumbai,2023-05-01,43794,0.0,43794.0,5,2023
100122,1337,Electronics,810,8,5,UPI,Returned,Pune,2023-05-02,6480,324.0,6156.0,5,2023
100123,1878,Sports,1927,2,0,Credit Card,Returned,Mumbai,2023-05-03,3854,0.0,3854.0,5,2023
100124,2076,Home,2490,1,0,Cash,Cancelled,Delhi,2023-05-04,2490,0.0,2490.0,5,2023
100125,1791,Clothing,2054,2,0,UPI,Returned,Pune,2023-05-05,4108,0.0,4108.0,5,2023
100126,4993,Clothing,2808,2,15,UPI,Returned,Pune,2023-05-06,5616,842.4,4773.6,5,2023
100127,3264,Home,2279,3,15,UPI,Returned,Mumbai,2023-05-07,6837,1025.55,5811.45,5,2023
100128,1763,Clothing,2524,7,20,Credit Card,Returned,Chennai,2023-05-08,17668,3533.6,14134.4,5,2023
100129,3235,Beauty,4827,2,5,UPI,Delivered,Mumbai,2023-05-09,9654,482.7,9171.3,5,2023
100130,1379,Electronics,1377,1,10,Credit Card,Cancelled,Mumbai,2023-05-10,1377,137.7,1239.3,5,2023
100131,1492,Beauty,1291,6,10,Debit Card,Cancelled,Chennai,2023-05-11,7746,774.6,6971.4,5,2023
100132,4112,Clothing,2991,9,10,UPI,Returned,Delhi,2023-05-12,26919,2691.9,24227.1,5,2023
100133,2180,Sports,1949,3,0,Cash,Delivered,Delhi,2023-05-13,5847,0.0,5847.0,5,2023
100134,3062,Electronics,2875,6,15,UPI,Cancelled,Pune,2023-05-14,17250,2587.5,14662.5,5,2023
100135,4884,Electronics,981,3,5,Debit Card,Cancelled,Bangalore,2023-05-15,2943,147.15,2795.85,5,2023
100136,1064,Home,3248,1,0,Debit Card,Returned,Bangalore,2023-05-16,3248,0.0,3248.0,5,2023
100137,4928,Home,2305,5,15,UPI,Returned,Pune,2023-05-17,11525,1728.75,9796.25,5,2023
100138,4910,Sports,4067,4,15,Debit Card,Cancelled,Bangalore,2023-05-18,16268,2440.2,13827.8,5,2023
100139,3568,Electronics,4742,7,5,Credit Card,Cancelled,Mumbai,2023-05-19,33194,1659.7,31534.3,5,2023
100140,2367,Sports,2313,6,5,Credit Card,Delivered,Mumbai,2023-05-20,13878,693.9,13184.1,5,2023
100141,2152,Home,4170,7,5,UPI,Cancelled,Chennai,2023-05-21,29190,1459.5,27730.5,5,2023
100142,3027,Home,2191,5,0,Credit Card,Cancelled,Chennai,2023-05-22,10955,0.0,10955.0,5,2023
100143,3695,Electronics,1267,4,20,Credit Card,Returned,Pune,2023-05-23,5068,1013.6,4054.4,5,2023
100144,2495,Beauty,1777,7,5,Cash,Cancelled,Pune,2023-05-24,12439,621.95,11817.05,5,2023
100145,4134,Clothing,1211,7,20,UPI,Returned,Pune,2023-05-25,8477,1695.4,6781.6,5,2023
100146,2162,Home,2474,6,0,Debit Card,Cancelled,Mumbai,2023-05-26,14844,0.0,14844.0,5,2023
100147,2522,Home,2014,8,20,UPI,Cancelled,Bangalore,2023-05-27,16112,3222.4,12889.6,5,2023
100148,3640,Beauty,2626,4,10,Credit Card,Cancelled,Pune,2023-05-28,10504,1050.4,9453.6,5,2023
100149,1391,Beauty,4602,5,20,Cash,Delivered,Pune,2023-05-29,23010,4602.0,18408.0,5,2023
100150,2698,Sports,2751,4,5,UPI,Returned,Mumbai,2023-05-30,11004,550.2,10453.8,5,2023
100151,1418,Sports,3857,1,0,UPI,Delivered,Mumbai,2023-05-31,3857,0.0,3857.0,5,2023
100152,3336,Clothing,207,8,5,Credit Card,Cancelled,Mumbai,2023-06-01,1656,82.8,1573.2,6,2023
100153,1378,Clothing,2755,1,10,Credit Card,Delivered,Bangalore,2023-06-02,2755,275.5,2479.5,6,2023
100154,2796,Electronics,675,5,5,UPI,Returned,Pune,2023-06-03,3375,168.75,3206.25,6,2023
100155,4561,Sports,2411,6,5,Credit Card,Cancelled,Delhi,2023-06-04,14466,723.3,13742.7,6,2023
100156,3278,Home,684,6,5,Credit Card,Delivered,Delhi,2023-06-05,4104,205.2,3898.8,6,2023
100157,4065,Sports,4854,5,15,Credit Card,Delivered,Pune,2023-06-06,24270,3640.5,20629.5,6,2023
100158,3088,Home,2485,3,10,Credit Card,Returned,Pune,2023-06-07,7455,745.5,6709.5,6,2023
100159,4099,Beauty,4763,5,5,Credit Card,Delivered,Pune,2023-06-08,23815,1190.75,22624.25,6,2023
100160,3182,Sports,3725,8,5,Cash,Returned,Pune,2023-06-09,29800,1490.0,28310.0,6,2023
100161,1200,Beauty,3539,2,5,Credit Card,Cancelled,Bangalore,2023-06-10,7078,353.9,6724.1,6,2023
100162,2863,Clothing,3022,6,0,Debit Card,Cancelled,Delhi,2023-06-11,18132,0.0,18132.0,6,2023
100163,1779,Clothing,3124,9,15,UPI,Delivered,Chennai,2023-06-12,28116,4217.4,23898.6,6,2023
100164,3977,Electronics,458,8,0,Cash,Cancelled,Delhi,2023-06-13,3664,0.0,3664.0,6,2023
100165,4104,Sports,482,8,15,Cash,Cancelled,Delhi,2023-06-14,3856,578.4,3277.6,6,2023
100166,4119,Beauty,2098,8,5,Credit Card,Delivered,Mumbai,2023-06-15,16784,839.2,15944.8,6,2023
100167,1502,Home,4335,7,10,UPI,Cancelled,Pune,2023-06-16,30345,3034.5,27310.5,6,2023
100168,3454,Clothing,3176,8,20,Debit Card,Delivered,Pune,2023-06-17,25408,5081.6,20326.4,6,2023
100169,4645,Clothing,2467,6,20,Credit Card,Returned,Pune,2023-06-18,14802,2960.4,11841.6,6,2023
100170,2751,Home,3400,2,5,UPI,Returned,Mumbai,2023-06-19,6800,340.0,6460.0,6,2023
100171,1804,Beauty,812,2,0,Credit Card,Returned,Bangalore,2023-06-20,1624,0.0,1624.0,6,2023
100172,3146,Beauty,887,8,10,Credit Card,Delivered,Bangalore,2023-06-21,7096,709.6,6386.4,6,2023
100173,3731,Sports,3890,1,15,Credit Card,Delivered,Chennai,2023-06-22,3890,583.5,3306.5,6,2023
100174,2895,Sports,812,6,5,Credit Card,Cancelled,Bangalore,2023-06-23,4872,243.6,4628.4,6,2023
100175,3773,Electronics,2507,6,10,Credit Card,Cancelled,Bangalore,2023-06-24,15042,1504.2,13537.8,6,2023
100176,2570,Clothing,3213,4,10,Credit Card,Cancelled,Pune,2023-06-25,12852,1285.2,11566.8,6,2023
100177,1960,Sports,1981,3,15,Credit Card,Cancelled,Delhi,2023-06-26,5943,891.45,5051.55,6,2023
100178,4810,Beauty,2791,3,10,Debit Card,Cancelled,Bangalore,2023-06-27,8373,837.3,7535.7,6,2023
100179,3660,Home,2896,1,0,Cash,Delivered,Bangalore,2023-06-28,2896,0.0,2896.0,6,2023
100180,2485,Beauty,4158,3,0,Debit Card,Delivered,Mumbai,2023-06-29,12474,0.0,12474.0,6,2023
100181,3690,Clothing,774,4,0,Credit Card,Returned,Chennai,2023-06-30,3096,0.0,3096.0,6,2023
100182,4840,Beauty,2110,5,10,Credit Card,Returned,Mumbai,2023-07-01,10550,1055.0,9495.0,7,2023
100183,2028,Electronics,3804,3,0,Debit Card,Returned,Pune,2023-07-02,11412,0.0,11412.0,7,2023
100184,4289,Clothing,869,6,15,Debit Card,Returned,Delhi,2023-07-03,5214,782.1,4431.9,7,2023
100185,1502,Home,4564,5,10,Cash,Delivered,Chennai,2023-07-04,22820,2282.0,20538.0,7,2023
100186,3814,Electronics,1483,3,20,Debit Card,Delivered,Mumbai,2023-07-05,4449,889.8,3559.2,7,2023
100187,1397,Clothing,1123,6,10,Cash,Delivered,Bangalore,2023-07-06,6738,673.8,6064.2,7,2023
100188,1870,Home,1325,6,15,Credit Card,Cancelled,Bangalore,2023-07-07,7950,1192.5,6757.5,7,2023
100189,3842,Electronics,1729,8,20,UPI,Cancelled,Chennai,2023-07-08,13832,2766.4,11065.6,7,2023
100190,1392,Electronics,1794,2,10,UPI,Returned,Bangalore,2023-07-09,3588,358.8,3229.2,7,2023
100191,1206,Clothing,446,1,0,UPI,Cancelled,Mumbai,2023-07-10,446,0.0,446.0,7,2023
100192,2038,Sports,3911,4,5,UPI,Delivered,Mumbai,2023-07-11,15644,782.2,14861.8,7,2023
100193,2881,Electronics,1760,7,5,Credit Card,Returned,Bangalore,2023-07-12,12320,616.0,11704.0,7,2023
100194,4625,Electronics,2600,3,0,UPI,Returned,Bangalore,2023-07-13,7800,0.0,7800.0,7,2023
100195,3939,Home,2443,3,5,Debit Card,Cancelled,Pune,2023-07-14,7329,366.45,6962.55,7,2023
100196,2484,Beauty,4064,5,5,Debit Card,Returned,Delhi,2023-07-15,20320,1016.0,19304.0,7,2023
100197,4762,Clothing,2139,5,0,UPI,Cancelled,Chennai,2023-07-16,10695,0.0,10695.0,7,2023
100198,4646,Clothing,3269,3,0,Debit Card,Cancelled,Mumbai,2023-07-17,9807,0.0,9807.0,7,2023
100199,1863,Sports,426,9,10,Cash,Returned,Chennai,2023-07-18,3834,383.4,3450.6,7,2023
100200,3790,Sports,3747,4,10,Credit Card,Cancelled,Pune,2023-07-19,14988,1498.8,13489.2,7,2023
100201,4312,Clothing,464,3,0,UPI,Cancelled,Mumbai,2023-07-20,1392,0.0,1392.0,7,2023
100202,1563,Sports,1595,2,15,UPI,Cancelled,Pune,2023-07-21,3190,478.5,2711.5,7,2023
100203,2020,Home,3757,9,5,Credit Card,Cancelled,Pune,2023-07-22,33813,1690.65,32122.35,7,2023
100204,1095,Clothing,845,4,10,Debit Card,Returned,Bangalore,2023-07-23,3380,338.0,3042.0,7,2023
100205,2923,Sports,3190,3,5,Credit Card,Delivered,Chennai,2023-07-24,9570,478.5,9091.5,7,2023
100206,2757,Clothing,2099,7,20,Credit Card,Delivered,Chennai,2023-07-25,14693,2938.6,11754.4,7,2023
100207,3532,Beauty,2704,8,0,Debit Card,Cancelled,Bangalore,2023-07-26,21632,0.0,21632.0,7,2023
100208,4478,Electronics,2972,2,15,Credit Card,Cancelled,Chennai,2023-07-27,5944,891.6,5052.4,7,2023
100209,3278,Clothing,1354,7,20,Debit Card,Cancelled,Bangalore,2023-07-28,9478,1895.6,7582.4,7,2023
100210,3796,Electronics,787,5,20,Debit Card,Delivered,Mumbai,2023-07-29,3935,787.0,3148.0,7,2023
100211,2678,Sports,4771,5,20,Credit Card,Cancelled,Pune,2023-07-30,23855,4771.0,19084.0,7,2023
100212,4242,Electronics,2021,3,0,Cash,Returned,Pune,2023-07-31,6063,0.0,6063.0,7,2023
100213,1540,Clothing,1185,5,10,Debit Card,Returned,Chennai,2023-08-01,5925,592.5,5332.5,8,2023
100214,2059,Beauty,4279,2,0,Credit Card,Returned,Delhi,2023-08-02,8558,0.0,8558.0,8,2023
100215,3572,Sports,3548,4,10,Debit Card,Delivered,Pune,2023-08-03,14192,1419.2,12772.8,8,2023
100216,2183,Clothing,4031,6,20,Cash,Cancelled,Bangalore,2023-08-04,24186,4837.2,19348.8,8,2023
100217,4910,Sports,1441,1,20,Cash,Cancelled,Delhi,2023-08-05,1441,288.2,1152.8,8,2023
100218,2722,Home,389,4,15,UPI,Cancelled,Delhi,2023-08-06,1556,233.4,1322.6,8,2023
100219,4314,Electronics,1180,6,10,Debit Card,Delivered,Pune,2023-08-07,7080,708.0,6372.0,8,2023
100220,4157,Home,1898,9,20,Debit Card,Delivered,Pune,2023-08-08,17082,3416.4,13665.6,8,2023
100221,2819,Clothing,1915,2,5,Credit Card,Delivered,Pune,2023-08-09,3830,191.5,3638.5,8,2023
100222,3625,Beauty,2793,7,15,Debit Card,Delivered,Bangalore,2023-08-10,19551,2932.65,16618.35,8,2023
100223,3729,Sports,4336,6,0,UPI,Returned,Delhi,2023-08-11,26016,0.0,26016.0,8,2023
100224,3604,Electronics,4633,2,15,Cash,Delivered,Chennai,2023-08-12,9266,1389.9,7876.1,8,2023
100225,2597,Sports,1298,8,5,Cash,Delivered,Bangalore,2023-08-13,10384,519.2,9864.8,8,2023
100226,4060,Clothing,2526,7,10,UPI,Delivered,Mumbai,2023-08-14,17682,1768.2,15913.8,8,2023
100227,3693,Sports,3447,5,0,Debit Card,Cancelled,Pune,2023-08-15,17235,0.0,17235.0,8,2023
100228,1795,Electronics,1095,5,0,Debit Card,Cancelled,Delhi,2023-08-16,5475,0.0,5475.0,8,2023
100229,2051,Clothing,1874,7,10,UPI,Cancelled,Bangalore,2023-08-17,13118,1311.8,11806.2,8,2023
100230,2643,Sports,3109,9,15,Credit Card,Returned,Mumbai,2023-08-18,27981,4197.15,23783.85,8,2023
100231,4627,Beauty,1130,9,20,Cash,Returned,Bangalore,2023-08-19,10170,2034.0,8136.0,8,2023
100232,2363,Clothing,4584,9,15,UPI,Delivered,Bangalore,2023-08-20,41256,6188.4,35067.6,8,2023
100233,4869,Clothing,923,6,5,UPI,Cancelled,Chennai,2023-08-21,5538,276.9,5261.1,8,2023
100234,2981,Beauty,3140,6,20,Debit Card,Returned,Chennai,2023-08-22,18840,3768.0,15072.0,8,2023
100235,2354,Home,1289,3,15,Cash,Cancelled,Bangalore,2023-08-23,3867,580.05,3286.95,8,2023
100236,2663,Electronics,4778,1,10,Debit Card,Returned,Mumbai,2023-08-24,4778,477.8,4300.2,8,2023
100237,2529,Home,1135,7,5,UPI,Returned,Delhi,2023-08-25,7945,397.25,7547.75,8,2023
100238,3038,Sports,2495,4,5,Credit Card,Delivered,Delhi,2023-08-26,9980,499.0,9481.0,8,2023
100239,4419,Beauty,355,1,5,Cash,Delivered,Pune,2023-08-27,355,17.75,337.25,8,2023
100240,2496,Home,1270,8,20,UPI,Returned,Pune,2023-08-28,10160,2032.0,8128.0,8,2023
100241,4302,Clothing,2158,6,0,UPI,Delivered,Delhi,2023-08-29,12948,0.0,12948.0,8,2023
100242,3237,Sports,2701,6,20,Credit Card,Returned,Bangalore,2023-08-30,16206,3241.2,12964.8,8,2023
